Gene	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
ENSMUST00000141392.7|ENSMUSG00000022884.16|chr16|+	68623.2	23108920	chr16:23108719-23109093	101.73	439.48	0.19	97.25	419.26	0.19	123.37	285.73	0.30	85.86	409.65	0.17	132.93	459.26	0.22	111.19	320.33	0.26	0.226666666667	0.216666666667	0.01	0.9387087707485227	1.0	N
ENSMUST00000029126.14|ENSMUSG00000027598.16|chr2|+	465.2	155224568	chr2:155224367-155226855	70.48	0.00	1.00	68.15	0.00	1.00	80.09	0.00	1.00	74.60	0.00	1.00	73.62	0.00	1.00	73.41	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000170436.7|ENSMUSG00000021910.15|chr14|-	753.6	31177486	chr14:31177392-31177712	152.69	0.00	1.00	284.32	0.00	1.00	147.77	3.48	0.98	323.80	0.00	1.00	117.06	10.38	0.92	197.53	11.20	0.95	0.993333333333	0.956666666667	0.0366666666667	0.07133758620575574	0.870582380866	N
ENSMUST00000151435.7|ENSMUSG00000019790.17|chr10|-	67.4	9760747	chr10:9759996-9760954	47.45	0.36	0.99	54.34	0.00	1.00	74.34	0.00	1.00	37.62	6.88	0.85	42.07	0.00	1.00	57.45	2.41	0.96	0.996666666667	0.936666666667	0.06	0.0896537424839312	1.0	N
ENSMUST00000237602.1|ENSMUSG00000024498.16|chr18|+	160.8	42574719	chr18:42574518-42575793	81.60	0.00	1.00	79.95	0.00	1.00	81.48	0.00	1.00	72.70	0.00	1.00	69.47	0.00	1.00	61.35	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000202294.3|ENSMUSG00000029147.11|chr5|-	1464.6	31203083	chr5:31202664-31203284	188.98	0.00	1.00	194.13	0.00	1.00	188.18	0.00	1.00	257.22	0.00	1.00	223.93	0.00	1.00	183.23	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000170213.1|ENSMUSG00000015749.12|chr3|+	61.9	95945427	chr3:95945180-95945547	58.89	13.82	0.81	70.72	3.18	0.96	50.28	9.18	0.85	61.66	8.80	0.88	52.46	2.10	0.96	52.38	12.82	0.80	0.873333333333	0.88	-0.00666666666667	1.0	1.0	N
ENSMUST00000139779.1|ENSMUSG00000019790.17|chr10|-	3226.6	9789227	chr10:9789036-9789428	6.73	54.64	0.11	2.20	47.30	0.04	3.80	57.62	0.06	9.06	43.71	0.17	7.15	42.53	0.14	5.91	47.97	0.11	0.07	0.14	-0.07	0.3428098527957384	1.0	N
ENSMUST00000213682.1|ENSMUSG00000031990.15|chr9|-	1721.1	27105419	chr9:27105221-27105620	6.05	51.76	0.10	5.31	38.91	0.12	6.97	62.15	0.10	10.41	45.41	0.19	9.02	55.66	0.14	7.15	40.37	0.15	0.106666666667	0.16	-0.0533333333333	0.5802544457222234	1.0	N
ENSMUST00000110687.7|ENSMUSG00000021027.17|chr12|-	399.4	55603918	chr12:55602929-55604271	127.55	0.00	1.00	141.90	0.00	1.00	131.54	0.00	1.00	97.42	13.19	0.88	114.63	6.02	0.95	91.36	8.93	0.91	1.0	0.913333333333	0.0866666666667	0.0006625819844115307	0.0261372494311	N
ENSMUST00000167518.7|ENSMUSG00000037503.12|chr1|-	7098.3	34817203	chr1:34813309-34817404	153.88	0.00	1.00	136.47	0.00	1.00	171.93	0.00	1.00	103.28	0.00	1.00	111.18	0.00	1.00	141.29	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000188299.1|ENSMUSG00000101939.1|chr1|-	469371140.2	24612918	chr1:24612775-24613119	2081.08	31787.90	0.06	3019.08	45702.90	0.06	2567.47	38777.19	0.06	2478.18	38093.67	0.06	2501.71	37672.68	0.06	2006.29	30109.92	0.06	0.06	0.06	0.0	0.9881996463272695	1.0	N
ENSMUST00000107333.7|ENSMUSG00000074457.10|chr3|+	7978.1	90542566	chr3:90542365-90542748	216.19	0.00	1.00	272.68	0.00	1.00	223.72	0.00	1.00	163.84	0.00	1.00	128.02	0.00	1.00	161.90	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000025484.8|ENSMUSG00000024588.9|chr18|-	688.5	64458016	chr18:64457265-64458217	163.68	0.00	1.00	126.04	0.00	1.00	126.61	0.00	1.00	129.73	0.00	1.00	131.64	0.00	1.00	122.70	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000147898.7|ENSMUSG00000017428.16|chr11|+	454.5	80471911	chr11:80471710-80472306	16.50	74.76	0.18	7.95	55.04	0.13	8.19	52.83	0.13	8.12	55.40	0.13	7.64	87.44	0.08	16.17	119.43	0.12	0.146666666667	0.11	0.0366666666667	0.47498310433671886	1.0	N
ENSMUST00000150473.6|ENSMUSG00000026843.15|chr2|+	81.1	31616380	chr2:31616179-31616716	45.22	0.00	1.00	48.67	0.00	1.00	52.38	0.00	1.00	43.75	0.00	1.00	47.68	0.00	1.00	40.81	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000099163.4|ENSMUSG00000037652.15|chr3|-	19.4	30929812	chr3:30929121-30930063	0.82	55.20	0.01	1.57	49.68	0.03	1.24	63.82	0.02	3.10	56.14	0.05	0.97	51.95	0.02	0.58	51.25	0.01	0.02	0.0266666666667	-0.00666666666667	1.0	1.0	N
ENSMUST00000213525.1|ENSMUSG00000042396.10|chr9|-	1068.0	48495098	chr9:48492597-48495299	20.98	55.67	0.27	18.83	39.12	0.32	17.23	19.73	0.47	22.56	58.69	0.28	15.65	70.58	0.18	15.00	29.26	0.34	0.353333333333	0.266666666667	0.0866666666667	0.32475074578951124	1.0	N
ENSMUST00000141152.1|ENSMUSG00000047126.17|chr11|-	1732.0	86725070	chr11:86723278-86725271	6.84	1172.34	0.01	6.81	1086.23	0.01	8.80	1092.53	0.01	5.96	1158.06	0.01	6.17	1150.89	0.01	6.92	1226.24	0.01	0.01	0.01	0.0	0.7853686482225327	1.0	N
ENSMUST00000137585.2|ENSMUSG00000014077.13|chr2|+	6760.2	119585308	chr2:119585107-119585405	175.80	0.00	1.00	203.10	0.00	1.00	253.19	0.00	1.00	201.36	0.00	1.00	239.59	0.00	1.00	253.89	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000152293.5|ENSMUSG00000030180.15|chr6|+	936.3	120369133	chr6:120368932-120369608	0.07	67.13	0.00	5.83	57.99	0.09	8.69	46.80	0.16	2.10	67.74	0.03	1.48	46.04	0.03	5.61	46.44	0.11	0.0833333333333	0.0566666666667	0.0266666666667	1.0	1.0	N
ENSMUST00000207225.1|ENSMUSG00000039361.11|chr7|+	14203.6	90207784	chr7:90207583-90208932	458.28	0.00	1.00	457.01	0.00	1.00	517.55	0.00	1.00	465.72	0.00	1.00	469.67	0.00	1.00	514.91	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000161218.1|ENSMUSG00000044066.14|chr11|-	187.3	20242037	chr11:20241523-20242238	8.24	62.61	0.12	5.92	49.13	0.11	7.28	59.16	0.11	9.24	71.78	0.11	8.92	55.06	0.14	9.63	56.02	0.15	0.113333333333	0.133333333333	-0.02	0.7944126170737681	1.0	N
ENSMUST00000173302.1|ENSMUSG00000007029.16|chr17|+	625.1	35014435	chr17:35014234-35014837	NA	NA	NA	22.79	8.89	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.27	6.77	0.80	0.72	0.8	-0.08	0.5495814754165824	1.0	N
ENSMUST00000212086.1|ENSMUSG00000002908.17|chr8|-	126.8	70844360	chr8:70843158-70844561	32.62	0.00	1.00	37.02	0.00	1.00	30.22	0.00	1.00	34.03	0.00	1.00	39.77	0.00	1.00	35.84	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000058438.8|ENSMUSG00000049354.8|chr11|+	5991.4	106054884	chr11:106054683-106059324	169.59	0.00	1.00	161.82	0.00	1.00	150.76	0.00	1.00	135.72	0.00	1.00	168.08	0.00	1.00	180.47	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000155767.2|ENSMUSG00000026154.4|chr1|-	1546.4	24003105	chr1:24002966-24003306	NA	NA	NA	0.00	43.06	0.00	0.00	81.88	0.00	0.00	69.15	0.00	0.00	30.22	0.00	0.15	38.77	0.00	0.0	0.0	0.0	1.0	1.0	N
ENSMUST00000084852.12|ENSMUSG00000066306.13|chr7|+	234.8	102014437	chr7:102014236-102014885	112.00	0.00	1.00	131.96	0.00	1.00	105.60	7.84	0.93	101.37	0.00	1.00	120.72	0.00	1.00	100.82	0.00	1.00	0.976666666667	1.0	-0.0233333333333	0.49896825396810274	1.0	N
ENSMUST00000168646.1|ENSMUSG00000079242.2|chr15|+	33.3	89429872	chr15:89429589-89430868	0.44	29.75	0.01	0.87	49.79	0.02	0.50	36.40	0.01	NA	NA	NA	NA	NA	NA	0.63	42.99	0.01	0.0133333333333	0.01	0.00333333333333	1.0	1.0	N
ENSMUST00000148943.1|ENSMUSG00000071072.12|chr10|+	8884.4	128072269	chr10:128072068-128072374	7.35	80.80	0.08	1.65	86.91	0.02	1.53	140.19	0.01	7.70	67.31	0.10	6.08	70.41	0.08	6.16	79.82	0.07	0.0366666666667	0.0833333333333	-0.0466666666667	0.17321954713363352	1.0	N
ENSMUST00000030032.12|ENSMUSG00000028347.14|chr4|+	4455.5	48662351	chr4:48662001-48663131	339.19	478.21	0.41	286.33	488.85	0.37	268.68	430.10	0.38	218.72	292.32	0.43	245.53	315.15	0.44	206.00	296.24	0.41	0.386666666667	0.426666666667	-0.04	0.22490095319038161	1.0	N
ENSMUST00000025523.12|ENSMUSG00000024621.16|chr18|+	579.9	61130505	chr18:61130304-61131134	151.20	0.00	1.00	144.26	0.00	1.00	170.06	0.00	1.00	136.31	0.00	1.00	133.95	0.00	1.00	122.24	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000111122.8|ENSMUSG00000020594.14|chr12|+	1697.4	8749790	chr12:8749589-8752561	142.90	0.00	1.00	110.11	0.00	1.00	109.12	0.00	1.00	115.63	0.00	1.00	123.91	0.00	1.00	132.43	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000220544.1|ENSMUSG00000034617.7|chr13|-	67.4	68564301	chr13:68564149-68564502	NA	NA	NA	0.77	32.60	0.02	NA	NA	NA	1.11	33.16	0.03	NA	NA	NA	NA	NA	NA	0.02	0.03	-0.01	1.0	1.0	N
ENSMUST00000150727.7|ENSMUSG00000058317.12|chr14|-	3500.8	18574190	chr14:18573577-18574391	183.07	0.00	1.00	234.16	0.00	1.00	203.00	0.00	1.00	187.36	0.00	1.00	152.59	0.00	1.00	191.54	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000198180.4|ENSMUSG00000068823.10|chr3|+	17302.7	103057087	chr3:103056886-103057991	797.42	0.00	1.00	981.10	0.00	1.00	918.93	0.00	1.00	958.64	0.00	1.00	846.30	0.00	1.00	876.86	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000146191.7|ENSMUSG00000030064.16|chr6|-	33.1	97307967	chr6:97307213-97308168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000142720.1|ENSMUSG00000026860.16|chr2|-	48240.0	30346252	chr2:30346108-30346453	15.57	250.90	0.06	15.19	287.52	0.05	14.12	255.19	0.05	4.04	235.61	0.02	7.35	209.24	0.03	3.28	244.95	0.01	0.0533333333333	0.02	0.0333333333333	0.053314152291136285	0.738229264262	N
ENSMUST00000021866.9|ENSMUSG00000021428.9|chr13|+	48.6	38061171	chr13:38060755-38061433	27.67	13.25	0.68	37.27	0.22	0.99	25.53	19.63	0.57	19.59	12.15	0.62	30.29	8.85	0.77	NA	NA	NA	0.746666666667	0.695	0.0516666666667	1.0	1.0	N
ENSMUST00000176195.7|ENSMUSG00000034674.18|chr10|+	388.7	82648795	chr10:82648581-82648879	77.52	0.00	1.00	74.29	0.00	1.00	118.88	0.00	1.00	74.18	0.00	1.00	65.65	0.00	1.00	62.08	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000055100.13|ENSMUSG00000043004.13|chr14|-	2502.9	19875734	chr14:19875655-19875935	35.81	88.08	0.29	19.90	92.59	0.18	24.17	116.83	0.17	16.43	51.69	0.24	22.79	192.29	0.11	21.06	127.56	0.14	0.213333333333	0.163333333333	0.05	0.1476290197877066	1.0	N
ENSMUST00000145310.7|ENSMUSG00000029769.16|chr6|+	169.0	29426826	chr6:29426625-29426948	94.60	15.72	0.86	94.80	0.00	1.00	89.85	1.63	0.98	35.02	13.92	0.72	37.13	39.72	0.48	47.21	0.00	1.00	0.946666666667	0.733333333333	0.213333333333	4.856624809344852e-05	0.00263762609364	N
ENSMUST00000027337.14|ENSMUSG00000026153.15|chr1|-	157.0	24012296	chr1:24011681-24012497	53.85	0.00	1.00	118.01	0.00	1.00	93.54	0.00	1.00	88.70	0.00	1.00	72.20	0.00	1.00	100.18	4.69	0.96	1.0	0.986666666667	0.0133333333333	1.0	1.0	N
ENSMUST00000163205.7|ENSMUSG00000024576.14|chr18|+	33893.8	61580540	chr18:61580339-61582262	62.02	578.78	0.10	29.82	439.61	0.06	43.55	456.86	0.09	43.32	585.61	0.07	49.07	511.40	0.09	55.13	498.42	0.10	0.0833333333333	0.0866666666667	-0.00333333333333	1.0	1.0	N
ENSMUST00000029047.11|ENSMUSG00000027534.16|chr3|-	623.6	10419022	chr3:10418146-10419223	68.57	0.00	1.00	70.97	0.00	1.00	89.71	0.00	1.00	76.44	0.00	1.00	74.02	0.00	1.00	77.55	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000097593.8|ENSMUSG00000036452.18|chr18|+	486.8	39371275	chr18:39371074-39376284	41.16	0.00	1.00	42.92	0.00	1.00	45.44	0.00	1.00	38.30	0.00	1.00	48.39	0.00	1.00	39.75	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000041197.12|ENSMUSG00000040997.14|chr14|+	1089.3	54267969	chr14:54267768-54269164	107.36	0.00	1.00	94.58	0.00	1.00	99.02	0.00	1.00	80.17	0.00	1.00	116.81	0.00	1.00	85.31	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000046022.15|ENSMUSG00000040356.16|chr17|-	54.2	34839392	chr17:34839244-34839605	70.44	0.00	1.00	49.32	1.99	0.96	53.62	12.98	0.81	53.41	0.00	1.00	66.29	0.00	1.00	37.29	0.00	1.00	0.923333333333	1.0	-0.0766666666667	0.1230955124760437	1.0	N
ENSMUST00000165802.1|ENSMUSG00000001576.15|chr17|+	4043.4	26641783	chr17:26641582-26643882	1.09	260.78	0.00	0.92	198.84	0.00	1.22	211.47	0.01	1.04	207.81	0.00	1.03	191.77	0.01	0.67	228.44	0.00	0.00333333333333	0.00333333333333	0.0	1.0	1.0	N
ENSMUST00000165566.7|ENSMUSG00000040929.17|chr19|-	504.4	27768367	chr19:27761721-27768693	36.77	0.00	1.00	47.95	0.00	1.00	45.83	0.00	1.00	28.02	19.24	0.59	40.03	0.00	1.00	20.18	11.88	0.63	1.0	0.74	0.26	0.0002971772391557792	0.0129481969964	N
ENSMUST00000097166.4|ENSMUSG00000072407.4|chr10|-	2017.9	74863215	chr10:74862988-74863416	0.19	63.06	0.00	0.07	86.96	0.00	0.18	78.31	0.00	0.01	49.20	0.00	0.10	64.27	0.00	0.09	70.76	0.00	0.0	0.0	0.0	1.0	1.0	N
ENSMUST00000228207.1|ENSMUSG00000022241.6|chr15|-	144.5	11389541	chr15:11388923-11389742	8.80	22.95	0.28	4.75	37.33	0.11	9.67	41.50	0.19	4.64	31.48	0.13	14.08	26.93	0.34	11.06	27.53	0.29	0.193333333333	0.253333333333	-0.06	0.5768829327202882	1.0	N
ENSMUST00000162537.1|ENSMUSG00000033004.16|chr14|-	313.7	103314298	chr14:103311695-103314514	10.56	105.34	0.09	12.16	111.02	0.10	9.32	95.29	0.09	7.95	115.70	0.06	8.76	125.94	0.07	8.67	120.49	0.07	0.0933333333333	0.0666666666667	0.0266666666667	0.4715040225766735	1.0	N
ENSMUST00000196519.1|ENSMUSG00000027680.15|chr3|+	4865.0	34041264	chr3:34041063-34041664	5.17	91.78	0.05	4.98	96.14	0.05	5.69	102.19	0.05	11.35	79.38	0.13	5.70	95.01	0.06	4.85	90.15	0.05	0.05	0.08	-0.03	0.5591807365448607	1.0	N
ENSMUST00000221890.1|ENSMUSG00000021313.16|chr13|-	4222.5	11730285	chr13:11729374-11730486	21.07	104.23	0.17	27.28	114.62	0.19	31.27	140.09	0.18	29.77	120.59	0.20	33.44	81.06	0.29	26.53	109.13	0.20	0.18	0.23	-0.05	0.45189912100902196	1.0	N
ENSMUST00000119947.1|ENSMUSG00000083405.1|chr16|+	1580.4	37882743	chr16:37882542-37883631	85.00	0.00	1.00	105.59	0.00	1.00	80.61	0.00	1.00	77.94	0.00	1.00	89.77	0.00	1.00	85.23	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000033941.6|ENSMUSG00000031538.6|chr8|+	3336.8	22782593	chr8:22781948-22782844	276.74	2.13	0.99	244.23	31.92	0.88	287.68	29.15	0.91	232.81	11.24	0.95	298.14	22.39	0.93	394.34	35.70	0.92	0.926666666667	0.933333333333	-0.00666666666667	1.0	1.0	N
ENSMUST00000028829.12|ENSMUSG00000027351.14|chr2|+	9553.9	117177503	chr2:117177302-117182279	195.46	0.00	1.00	250.41	0.00	1.00	181.50	0.00	1.00	145.63	0.00	1.00	150.53	0.00	1.00	241.48	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000031477.8|ENSMUSG00000029502.14|chr5|+	183.4	110223109	chr5:110222908-110223201	89.02	1.78	0.98	108.98	0.00	1.00	96.78	1.40	0.99	76.18	17.28	0.82	94.68	8.74	0.92	114.66	0.00	1.00	0.99	0.913333333333	0.0766666666667	0.03526043417631502	0.54604110114	N
ENSMUST00000142995.7|ENSMUSG00000024826.15|chr19|-	387.1	5905351	chr19:5905126-5905552	8.72	43.09	0.17	24.22	50.53	0.32	31.84	31.11	0.51	31.92	35.89	0.47	17.01	21.31	0.44	25.00	34.34	0.42	0.333333333333	0.443333333333	-0.11	0.258478073514295	1.0	N
ENSMUST00000136312.1|ENSMUSG00000008348.9|chr5|-	69368232.8	125387580	chr5:125385965-125388264	18534.90	1351.66	0.93	22586.59	1590.54	0.93	17005.41	1200.67	0.93	17572.38	635.97	0.97	16445.48	502.36	0.97	17304.11	641.53	0.96	0.93	0.966666666667	-0.0366666666667	7.042180350930109e-50	6.38932880781e-47	N
ENSMUST00000048898.16|ENSMUSG00000039431.16|chr8|-	426.2	40551712	chr8:40551101-40551913	79.50	0.00	1.00	101.37	0.00	1.00	87.02	0.00	1.00	93.86	0.00	1.00	72.79	0.00	1.00	77.00	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000160021.7|ENSMUSG00000021578.17|chr13|+	64.8	74361600	chr13:74361399-74362701	49.40	0.00	1.00	42.32	0.00	1.00	48.15	0.00	1.00	45.60	0.42	0.99	43.33	0.00	1.00	39.48	0.00	1.00	1.0	0.996666666667	0.00333333333333	1.0	1.0	N
ENSMUST00000154182.7|ENSMUSG00000029761.16|chr6|+	494.9	34741990	chr6:34741789-34742208	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	47.65	0.00	2.44	55.49	0.04	0.02	61.49	0.00	NA	NA	NA	NA	NA	N
ENSMUST00000227359.1|ENSMUSG00000022749.8|chr16|-	147.7	57208087	chr16:57207957-57208327	31.91	9.92	0.76	52.25	8.36	0.86	26.78	32.80	0.45	26.87	14.46	0.65	32.01	22.86	0.58	23.83	17.51	0.58	0.69	0.603333333333	0.0866666666667	0.5261697344399845	1.0	N
